"Build System","Termux (8 core, -j12)","MacOS (8 core, -j12)"
"xmake","24.890s","12.264s"
"ninja","25.682s","11.327s"
"cmake (gen + make)","5.416s + 28.473s","1.203s + 14.030s"
"cmake (gen + ninja)","4.458s + 24.842s","0.988s + 11.644s"
