"Interface","Description"
"is_os","Checks if the current build target matches the specified operating system"
"is_arch","Checks if the current build target matches the specified CPU architecture"
"is_plat","Checks if the current build target matches the specified platform"
"is_host","Checks if the build is running on the specified host system"
"is_mode","Checks if the current build mode matches the specified value (e.g., debug, release)"
"is_kind","Checks if the target type matches the specified kind (e.g., binary, static, shared)"
"is_config","Checks if the given configuration value is set"
"has_config","Checks if the specified configuration option is enabled"
"has_package","Checks if the specified dependent package is enabled"
