"Interface","Description"
"table.concat","Join table elements with a separator"
"table.insert","Insert value into table at a position"
"table.maxn","Get the highest numeric index in table"
"table.remove","Remove an element from table"
"table.sort","Sort elements in table"
"table.join","Merge multiple tables and return new one"
"table.join2","Merge tables into the first table"
"table.unique","Remove duplicates from table"
"table.slice","Get a slice of the table"
